data;extrativas;produtos_alimenticios;bebidas;produtos_do_fumo;produtos_texteis;vestuario_ e_acessorios;couro_e_calcados;produtos_de_madeira;celulose_e_papel;impressao_e_gravacoes;coque_petroleo_biocombustiveis;produtos_de_limpeza;produtos_químicos;produto_farmoquimicos_e_farmaceuticos;produtos_de_borracha_e_plastico;produtos_de_minerais_nao_metalicos;metalurgia;produtos_de_metal;informatica;materiais_eletricos;maquinas_e_equipamentos;veiculos_automotores;equipamentos_de_transporte;moveis;produtos_diversos;manutencao_maquinas
jan/02;62,4;77,4;62,6;67,2;117,4;93,2;133,9;100,7;74;;84,7;71,4;77,6;46,1;85,4;72,5;82,6;77,2;76,3;66,7;57,1;52;34;79,3;87,8;
fev/02;58,9;71,4;57,8;96,7;117,2;100,1;122,9;91,1;67,8;;78,1;68,7;70,7;63,5;80,4;69,7;80,4;82,4;71,9;61,2;61,3;53,1;30,8;67,7;76,5;
mar/02;67,8;76;60,7;181,9;126,4;117,4;146,3;103,7;73,2;;88,3;77,5;73,4;71,5;88,7;76,2;86,9;84,9;83,7;65,6;67,8;61,2;36,6;79,8;81,1;
abr/02;66,5;80,7;62,7;207,9;132;125,5;157;106,9;72,8;;86,3;74,7;73,9;75,7;94,4;76,9;83,3;94,3;92;71,3;70,2;65,7;41,1;86,1;83,1;
mai/02;68,2;88,9;62,3;193,8;125,5;121;151,1;107,7;70,8;;93,1;76,7;81,2;64,9;93,4;77,7;88,9;88,9;84,5;65,4;71,5;61,6;39,8;80,5;82,5;
jun/02;67,9;93,4;60,5;164,6;119,1;113,3;117,3;108,4;71,3;;89,4;71,6;83,6;68,5;83,6;74,4;86,9;81,5;76,5;61,8;65,7;55,9;36,7;73,9;76,8;
jul/02;70,4;105,2;60,2;127,7;123,9;134,7;148,4;116,7;75,8;;99,1;74;89;72,1;88,9;77,5;91,1;87,1;95,2;64,2;70,2;58,1;41;82,2;93,1;
ago/02;70,8;107,5;67,3;65,7;130,2;142,1;153,3;115,5;78,5;;97,4;80,5;90,2;76,6;88,3;80,2;92,8;86,9;79,8;67,9;72,5;54,3;44,8;82,9;98,6;
set/02;67;102,2;66,6;56,4;126,6;137,8;166,5;115,1;73,9;;90,6;78,8;95,1;65,1;86,8;78,1;90,5;87,4;78,3;72,8;71,2;58,2;43,2;87,1;102,3;
out/02;70,6;110,7;83,4;54,6;141,4;148,9;181;122,9;79,6;;94,5;85,5;94,7;78,8;96,5;84,4;96,2;94,4;88,2;76,9;78,8;64,6;47,5;104,5;112,3;
nov/02;67;94,2;82,9;57,9;137,2;146,1;180,3;118,1;79,3;;87,2;84,4;90,5;69,7;92,5;81,5;92,2;87,1;86;75,4;77,2;60,9;45,1;97,8;101,6;
dez/02;63,9;82,6;88,4;52;107,5;93,9;139;107,6;77,4;;77,5;71,1;81,6;70,3;83,4;75,4;92,3;74,2;69,8;74,3;66,1;47,8;35,8;82,1;83,8;
jan/03;68,6;78,8;62,6;60,1;115,3;86,2;135,5;113;78,9;;79,9;73;83,1;41,9;86,6;74,1;91,7;80,2;55,9;68,5;64,4;57,9;42,2;70,4;76,9;
fev/03;63,5;71,7;60,8;105,3;116,8;97,4;126,9;110,1;74,5;;71,6;66,9;73,9;62,9;83,8;71,6;85,5;79,4;61,6;69,1;72;58,9;41,5;67,6;73,7;
mar/03;71,9;75,7;63,9;202,3;123,3;97;127,6;110,5;78;;87;73,2;81,1;59,2;84,9;75,1;97,4;82,2;63,1;67;71;58;38,9;64;78,1;
abr/03;69,1;77,3;56,7;191,9;116,8;98,1;134,7;110,5;78,8;;85,1;72,4;79,6;62,2;81,7;70,7;93;82,8;75,5;68,2;72,1;57,3;41,6;70,3;79;
mai/03;73,1;89,4;58;187,2;119,3;106,1;129,2;114,7;76,2;;88,7;80,5;80,9;66,6;83,2;75,5;96,3;83,1;76,6;64,8;71,8;60,8;43;72,9;84;
jun/03;66,3;90,4;56;135,9;114,7;104,5;114,9;108;76,2;;88,3;74,2;79,9;64,4;80,1;71,5;92,5;76,5;74,3;62,2;66;55,4;41,2;66,4;81,1;
jul/03;70,5;101,1;62,2;71,8;118,4;116,3;130,8;115,9;79,7;;93,9;75,4;88,9;67,5;85,1;75,6;95,3;81,2;87,5;68,6;73,1;58,2;42,6;74,6;87,9;
ago/03;73,3;103,8;60;53,9;123,4;118,5;135,1;114,7;79,9;;93,1;79,1;91,2;68,3;85,7;75,6;96,4;75,8;81;69,6;71,3;57,3;45,1;74,7;89,6;
set/03;70,9;105,8;64,6;50,1;126,7;130,3;145,3;122,1;81,7;;97,3;80,7;97,2;73,6;86,1;74,8;95,3;85,1;96,1;79,8;76,8;64,2;48,2;80,3;106,5;
out/03;73;107,3;74,3;56,8;136,4;139,2;164,6;131,4;84,3;;96,4;89,2;99,4;66,9;95,6;80,7;95,9;87,6;114,9;85,2;85,3;67,3;51,9;94,5;114,5;
nov/03;69,7;91,8;73,5;54,4;129,6;131,5;159,7;122,3;80,6;;82;82,2;90,3;70;90,6;75;94,9;81,2;122,7;80,7;82,2;66,1;46,5;91,7;101;
dez/03;70,5;80,9;89,5;50,3;104,7;78,8;119,4;112,9;81,3;;79,7;76,7;85,6;56,1;82,1;71,2;93,4;76,8;89,1;73,5;72,1;55,7;37,1;80,9;83,6;
jan/04;68,5;77,8;65;56,6;115,1;74,6;120,6;116,6;84,3;;85,8;77,1;84,1;44,7;86,1;72,8;91,6;80,2;76,4;72;69,9;64,1;42,3;72,5;83,9;
fev/04;66,3;73;61,6;74,9;115,3;82,9;118,9;109,7;79,1;;82,7;69,8;76,4;46,2;84,6;69;90,5;77,1;72,3;70,7;73,3;64,3;38;64,7;77,8;
mar/04;71,5;82,8;63,9;194,6;134,3;107;135,8;132,6;85,7;;89;90,6;88,4;69,4;96,7;78,2;98,1;93,5;99,2;79,8;88;81,9;51;81,1;100,6;
abr/04;69,7;79;64,8;213,1;126,1;101,8;120,7;124,8;81,6;;86;68,7;82,4;67,3;88,8;73,9;94,9;84,9;98,1;79,3;79,4;73,9;48,2;73,6;90,1;
mai/04;71,6;90;60,5;221;133,7;104,6;126;124;86,3;;84,9;89,7;89;74,3;92,1;78,3;100,7;88,5;100,1;78,7;83,9;78,4;50,6;77,7;94,1;
jun/04;72,5;96,2;55,9;198,4;135,6;112,2;126,8;124,2;84,1;;83,7;89,8;92;66,8;90,9;77,3;98,4;86,8;100,7;74,9;85,5;79,2;49,4;72,8;99,1;
jul/04;75,8;103,1;63;201,8;145,1;125,6;137,3;128;86,6;;90,5;91,7;94,6;62,6;95,9;81,6;99,6;96,5;99,9;78;88,9;82,5;45,2;76,4;102,4;
ago/04;78,8;108,3;64,1;101,9;146,8;133;145,9;132,6;86,8;;91,4;93,9;99,1;72,3;97,1;84,7;101,8;95,5;103,5;83,4;93,9;83,9;50,2;79,5;110,6;
set/04;75,5;110,3;76,7;52,6;141,7;136,6;159,6;133,3;85,2;;93,9;91,3;101,5;71,4;97,1;81,6;99,3;94,8;99,6;82,9;91,5;83,9;52,6;77,4;103,9;
out/04;77,6;105,9;81,7;50,5;147,1;134,4;165,4;131,8;89,2;;97,9;91,3;104,8;69,6;95,6;82,2;101;93,7;110,7;84,3;95,5;81,9;51,3;82;108,4;
nov/04;73,9;101,7;81,1;49,7;139,8;134;169,8;124,9;86,7;;90;92;99,2;63,2;94,1;79,5;96,3;90;130,1;83;92,5;83,9;50,8;89,2;110,9;
dez/04;75,2;90;88,9;49,1;108,1;91,5;134,9;111,1;87,3;;91,4;87,7;90,9;58,2;86,1;75,9;93,4;86,5;101,4;75,1;77,1;71,8;43,8;80,4;96,6;
jan/05;73,6;81,9;72,3;54,2;117,5;81;128,4;119,3;86,7;;87,5;84,5;84,4;52,6;85,3;76,8;92;82;82,9;71,7;75,9;73;42,5;66,6;96,7;
fev/05;67,3;74;62,9;63,8;121,9;88;120,1;113,3;79;;75;84,9;77,6;51,6;84,6;73,2;89,9;85;80,5;71,5;78,4;74,5;40,8;64;86,9;
mar/05;76,2;82,7;69;150;129,9;108,7;136;131,9;88,7;;85,4;93,4;86,5;79,8;93,4;80;97,5;96,8;105,1;84,6;89,2;87,9;53,7;79,9;104,9;
abr/05;79,3;84,3;71,9;206;132,2;108,7;129,7;126,2;84,9;;81,9;91,5;85,4;76,3;92;80;95,2;89,7;111,4;80,3;83,3;84,1;50,2;78,3;92,6;
mai/05;84,1;92,7;66;234,4;134,5;108,9;127,1;126,6;88,6;;93,6;89,2;89,4;77,7;94,4;81,5;94,3;90,2;125,9;83,5;84,2;85,5;52,3;85,8;88,1;
jun/05;83,7;99;67;213,3;133,1;112,1;126,2;124,4;86,5;;88,5;92,8;88,2;73,9;92,5;80,5;93,1;90,4;130,2;78,8;87,1;90,1;55,3;83,5;103,3;
jul/05;84,1;101,6;62,5;166,8;133,2;111;127,4;118,4;90,4;;98,2;90,4;91,5;73,3;90,2;80,4;92,8;88,6;120,9;76,1;81,3;83,7;46,3;76,4;103,8;
ago/05;85;109,6;70,9;132,3;140,1;119,5;142,4;120,4;86,6;;101,1;90,9;96,8;88,3;96,7;84,8;98,8;96,3;121,9;83,9;91;88,5;58,3;79,6;121,2;
set/05;83,5;105,4;76,6;57,8;136,2;120,4;140,5;115;86,8;;95,4;85,2;102,2;76,1;92,2;81,9;98;89,7;120,2;80,3;87,7;82,7;53,4;72;118,9;
out/05;86;105,1;82,2;56,3;137,6;118,6;149,7;111,3;90,6;;100,3;86,5;104;78,6;93,2;81,7;99,5;88,2;121,1;87,7;86,7;81,9;52,9;81,3;110;
nov/05;81,7;100,3;85;53,5;134,9;121,2;155,1;117,5;89,3;;89,4;92,7;95,9;75,4;92,1;81,3;96,2;88,3;126,6;88;87,5;85,1;52;94,8;112,4;
